geo_level,geo_code,0_14,15_24,25_34,35_44,45_54,55_64,65+,total_raw,total_10000 _rounded
ward,1,33,249,504,276,153,63,39,1317,188
ward,2,27,249,408,282,174,69,39,1248,178
ward,3,33,243,417,258,132,57,51,1191,170
ward,4,39,306,447,309,180,132,90,1503,215
ward,5,33,90,282,132,126,72,60,795,114
ward,6,39,282,393,300,171,165,87,1437,205
ward,7,48,336,489,321,135,87,36,1452,207
ward,8,27,294,315,234,156,144,33,1203,172
ward,9,126,387,627,429,261,96,87,2013,288
ward,10,63,345,450,342,234,126,72,1632,233
ward,11,60,417,573,396,246,192,48,1932,276
ward,12,93,447,477,258,156,207,102,1740,249
ward,13,66,324,480,372,165,216,93,1716,245
ward,14,87,486,546,360,258,180,90,2007,287
ward,15,87,579,666,414,210,66,27,2049,293
ward,16,102,429,600,354,279,255,180,2199,314
ward,17,117,444,633,354,267,207,144,2166,309
ward,18,60,390,594,420,246,204,141,2055,294
ward,19,45,393,609,378,216,210,120,1971,282
ward,20,66,339,438,354,198,210,81,1686,241
ward,21,57,327,474,189,99,36,24,1206,172
ward,22,108,534,561,315,237,171,75,2001,286
ward,23,39,270,357,210,153,42,30,1101,157
ward,24,75,519,633,414,315,192,81,2229,318
ward,25,99,606,699,480,297,198,123,2502,357
ward,26,57,474,504,324,270,153,84,1866,267
ward,27,39,225,369,279,177,108,63,1260,180
ward,28,93,726,750,444,393,255,147,2808,401
ward,29,66,474,633,267,225,165,57,1887,270
ward,30,90,663,729,420,342,231,105,2580,369
ward,31,57,420,576,351,300,159,69,1932,276
ward,32,66,450,534,291,228,201,78,1848,264
ward,33,42,204,231,204,225,288,156,1350,193
ward,34,42,195,240,225,177,195,102,1176,168
ward,35,69,207,285,270,246,189,111,1377,197
ward,36,42,195,285,234,159,114,51,1080,154
ward,37,48,219,315,264,183,108,63,1200,171
ward,38,63,297,399,321,327,147,66,1620,231
ward,39,54,225,315,297,276,192,141,1500,214
ward,40,63,288,348,288,375,300,162,1824,261
ward,41,69,324,450,324,258,147,69,1641,234
ward,42,75,300,399,336,303,192,108,1713,245
ward,43,39,279,366,225,174,99,42,1224,175
ward,44,87,384,516,381,267,159,75,1869,267
ward,45,84,411,588,399,276,141,102,2001,286
ward,46,93,447,645,387,243,126,54,1995,285
ward,47,57,282,483,264,171,129,39,1425,204
ward,48,84,321,492,375,198,117,36,1623,232
ward,49,84,345,624,450,234,150,45,1932,276
ward,50,63,441,648,327,270,174,48,1971,282
ward,51,93,519,798,507,522,321,279,3039,434
ward,52,81,411,564,471,624,540,576,3267,467
ward,53,48,327,387,300,180,81,24,1347,192
ward,54,36,294,282,276,207,132,48,1275,182
ward,55,45,354,534,375,171,93,54,1626,232
ward,56,57,285,435,273,288,102,21,1461,209
ward,57,24,219,456,432,303,141,120,1695,242
ward,58,18,237,309,204,171,90,21,1050,150
ward,59,33,150,324,258,207,87,15,1074,153
ward,60,45,228,336,234,99,87,45,1074,153
ward,61,66,285,462,306,213,96,51,1479,211
ward,62,60,270,540,363,195,102,21,1551,222
ward,63,63,276,435,276,156,114,42,1362,195
ward,64,84,450,456,264,189,114,33,1590,227
ward,65,69,387,492,270,234,144,45,1641,234
ward,66,63,342,486,273,231,159,54,1608,230
ward,67,54,321,378,291,246,279,141,1710,244
ward,68,60,369,504,351,222,144,39,1689,241
ward,69,78,390,465,240,270,135,57,1635,234
ward,70,39,291,456,216,114,51,45,1212,173
ward,71,39,273,405,246,132,126,18,1239,177
ward,72,69,417,501,279,246,126,33,1671,239
ward,73,33,174,261,192,162,87,27,936,134
ward,74,75,453,378,321,180,135,102,1644,235
ward,75,39,264,258,195,183,159,78,1176,168
ward,76,39,270,249,201,165,108,60,1092,156
ward,77,60,588,669,618,531,300,114,2880,411
ward,78,66,495,624,381,345,171,78,2160,309
ward,79,60,459,624,435,333,198,111,2220,317
ward,80,45,216,273,213,177,186,96,1206,172
ward,81,69,477,615,396,336,150,81,2124,303
ward,82,57,417,576,492,279,237,156,2214,316
ward,83,66,549,579,396,273,114,57,2034,291
ward,84,87,633,624,426,231,63,24,2088,298
ward,85,54,477,546,441,294,144,60,2016,288
ward,86,48,420,579,420,246,138,120,1971,282
ward,87,60,405,540,405,282,231,159,2082,297
ward,88,54,219,267,255,198,156,102,1251,179
ward,89,60,411,480,360,324,372,261,2268,324
ward,90,57,363,531,402,270,240,147,2010,287
ward,91,60,378,573,420,222,204,141,1998,285
ward,92,48,315,546,381,258,168,99,1815,259
ward,93,57,372,543,339,252,279,195,2037,291
ward,94,51,312,564,453,225,123,75,1803,258
ward,95,48,294,369,285,312,294,204,1806,258
ward,96,48,261,450,306,219,219,144,1647,235
ward,97,48,273,510,375,213,168,117,1704,243
ward,98,51,285,432,312,267,228,156,1731,247
ward,99,54,366,522,399,273,309,213,2136,305
ward,100,69,477,594,357,261,189,99,2046,292
ward,101,39,276,315,273,285,330,186,1704,243
ward,102,30,270,324,216,114,105,30,1089,156
ward,103,48,465,342,171,141,69,33,1269,181
ward,104,33,258,357,363,417,426,522,2376,339
ward,105,39,327,402,195,192,93,45,1293,185
ward,106,63,369,390,288,291,342,132,1875,268
ward,107,27,336,324,180,150,63,66,1146,164
ward,108,42,348,432,387,345,318,237,2109,301
ward,109,63,546,693,498,279,243,96,2418,345
ward,110,66,369,489,288,219,138,36,1605,229
ward,111,45,330,363,288,198,135,51,1410,201
,,,,,,,,,,
